county_name,total_votes_2024,total_votes_2016,population,pct2024,pct2016,difference
Allegany,7207,3598,32249,0.2234797978231883,0.11156935098762752,0.11191044683556078
Anne Arundel,102552,74477,296249,0.3461682571080409,0.25140000472575436,0.09476825238228653
Baltimore City,53535,65883,311460,0.1718840300520131,0.21152957041032555,-0.03964554035831244
Baltimore County,127520,123102,445431,0.28628451993687015,0.27636603649050023,0.009918483446369919
Calvert,23340,12165,46701,0.49977516541401684,0.2604869274747864,0.23928823793923043
Caroline,5560,3604,16906,0.3288773216609488,0.21317875310540638,0.11569856855554242
Carroll,35231,19056,86819,0.40579826996394797,0.21949112521452677,0.1863071447494212
Cecil,18305,10554,52103,0.3513233403067002,0.20256031322572596,0.14876302708097425
Charles,35058,25369,86324,0.40612112506371345,0.29388119178907374,0.11223993327463971
Dorchester,5142,3570,17296,0.2972941720629047,0.20640610545790936,0.09088806660499535
Frederick,46806,29629,138019,0.3391272216144154,0.21467334207609098,0.1244538795383244
Garrett,5376,3331,14357,0.37445148707947346,0.23201225882844606,0.1424392282510274
Harford,55802,43222,132450,0.4213061532653832,0.32632691581728956,0.09497923744809361
Howard,60249,57865,168000,0.358625,0.34443452380952383,0.014190476190476198
Kent,3624,3273,10074,0.35973793924955333,0.32489577129243596,0.034842167957117365
Montgomery,156468,156968,541228,0.2890981250046191,0.2900219500838833,-9.238250792641955e-4
Prince George's,150215,155223,493706,0.30426002519718215,0.3144037139512179,-0.010143688754035762
Queen Anne's,13844,10444,25271,0.5478216137074117,0.4132800443195758,0.13454156938783585
Saint Mary's,24136,12701,56406,0.427897741375031,0.2251710810906641,0.2027266602843669
Somerset,3642,2437,11151,0.32660747914985205,0.21854542193525245,0.1080620572145996
Talbot,9350,8965,19640,0.4760692464358452,0.4564663951120163,0.019602851323828885
Washington,25288,11439,75890,0.33321913295559363,0.15073132164975622,0.1824878113058374
Wicomico,16431,10785,54095,0.30374341436361957,0.19937147610684905,0.10437193825677052
Worcester,9982,7107,26986,0.3698955013710813,0.2633587786259542,0.1065367227451271
