"county_name","total_early_votes","GEOID","variable","population","moe","votes_per_10000"
"Queen Anne's",13844,"24035","B01001_026",25271,150,5478.21613707412
"Calvert",23340,"24009","B01001_026",46701,111,4997.75165414017
"Talbot",9350,"24041","B01001_026",19640,143,4760.69246435845
"Saint Mary's",24136,"24037","B01001_026",56406,93,4278.97741375031
"Harford",55802,"24025","B01001_026",132450,58,4213.06153265383
"Charles",35058,"24017","B01001_026",86324,121,4061.21125063713
"Carroll",35231,"24013","B01001_026",86819,110,4057.98269963948
"Garrett",5376,"24023","B01001_026",14357,76,3744.51487079473
"Worcester",9982,"24047","B01001_026",26986,131,3698.95501371081
"Kent",3624,"24029","B01001_026",10074,128,3597.37939249553
"Howard",60249,"24027","B01001_026",168000,93,3586.25
"Cecil",18305,"24015","B01001_026",52103,189,3513.233403067
"Anne Arundel",102552,"24003","B01001_026",296249,75,3461.68257108041
"Frederick",46806,"24021","B01001_026",138019,32,3391.27221614415
"Washington",25288,"24043","B01001_026",75890,101,3332.19132955594
"Caroline",5560,"24011","B01001_026",16906,64,3288.77321660949
"Somerset",3642,"24039","B01001_026",11151,117,3266.07479149852
"Prince George's",150215,"24033","B01001_026",493706,87,3042.60025197182
"Wicomico",16431,"24045","B01001_026",54095,196,3037.4341436362
"Dorchester",5142,"24019","B01001_026",17296,199,2972.94172062905
"Montgomery",156468,"24031","B01001_026",541228,132,2890.98125004619
"Baltimore County",127520,"24005","B01001_026",445431,58,2862.8451993687
"Allegany",7207,"24001","B01001_026",32249,173,2234.79797823188
"Baltimore City",53535,"24510","B01001_026",311460,73,1718.84030052013
